Player,Player-additional,Team,MP,OBPM,DBPM,VORP,Pos,Year
Kevin Porter Jr.,porteke02,HOU,835,-1.1,-2.4,-0.3,SG,2021
Eric Gordon,gordoer01,HOU,789,0.7,-1.7,0.2,SG,2021
David Nwaba,nwabada01,HOU,679,-1.4,0.6,0.2,SF,2021
Victor Oladipo,oladivi01,HOU,669,-0.3,-1.0,0.1,SG,2021
Ben McLemore,mclembe01,HOU,537,-3.4,-1.1,-0.3,SG,2021
Armoni Brooks,brookar01,HOU,520,-1.1,-2.1,-0.2,SG,2021
DeMarcus Cousins,couside01,HOU,506,-1.6,1.5,0.2,C,2021
D.J. Augustin,augusdj01,HOU,416,0.6,-2.6,0.0,PG,2021
Anthony Lamb,lamban01,HOU,415,-3.4,-2.7,-0.4,SF,2021
Avery Bradley,bradlav01,HOU,391,-6.2,-0.8,-0.5,SG,2021
D.J. Wilson,wilsodj01,HOU,328,-2.3,-0.4,-0.1,PF,2021
Mason Jones,jonesma05,HOU,307,-1.9,-1.4,-0.1,SG,2021
James Harden,hardeja01,HOU,290,5.4,-0.6,0.5,PG,2021
DaQuan Jeffries,jeffrda01,HOU,261,-3.5,-0.6,-0.1,SG,2021
Justin Patton,pattoju01,HOU,247,-3.6,1.4,0.0,C,2021
Khyri Thomas,thomakh01,HOU,153,2.5,-0.1,0.2,SG,2021
Cameron Oliver,oliveca01,HOU,87,-1.0,-1.0,0.0,SF,2021
Rodions Kurucs,kurucro01,HOU,75,-10.1,1.5,-0.1,SF,2021
Bruno Caboclo,cabocbr01,HOU,36,-8.4,-1.7,-0.1,PF,2021
Cameron Reynolds,reynoca01,HOU,34,-3.4,-4.8,-0.1,SF,2021
Brodric Thomas,thomabr01,HOU,24,-7.0,0.6,0.0,SG,2021
Ray Spalding,spaldra01,HOU,19,-12.2,-2.1,-0.1,C,2021
Pascal Siakam,siakapa01,TOR,2006,1.0,-0.3,1.4,PF,2021
Fred VanVleet,vanvlfr01,TOR,1899,2.2,0.2,2.2,SG,2021
Kyle Lowry,lowryky01,TOR,1601,2.0,-0.4,1.5,PG,2021
Chris Boucher,bouchch01,TOR,1453,2.7,0.6,2.0,C,2021
OG Anunoby,anunoog01,TOR,1433,0.8,0.4,1.2,SF,2021
Norman Powell,powelno01,TOR,1277,2.2,-0.7,1.1,SG,2021
Stanley Johnson,johnsst04,TOR,1006,-3.8,1.2,-0.1,PF,2021
Aron Baynes,baynear01,TOR,980,-3.4,-1.1,-0.6,C,2021
DeAndre' Bembry,bembrde01,TOR,972,-3.2,1.4,0.0,SF,2021
Malachi Flynn,flynnma01,TOR,928,-2.5,-0.2,-0.1,PG,2021
Yuta Watanabe,watanyu01,TOR,723,-1.1,0.5,0.2,SF,2021
Khem Birch,birchkh01,TOR,577,0.1,0.0,0.3,C,2021
Gary Trent Jr.,trentga02,TOR,540,-1.6,-1.5,-0.2,SG,2021
Terence Davis,daviste02,TOR,493,-1.8,-0.8,-0.1,SG,2021
Freddie Gillespie,gillefr01,TOR,392,-3.1,-0.1,-0.1,PF,2021
Paul Watson,watsopa01,TOR,297,-0.8,-0.6,0.1,SF,2021
Rodney Hood,hoodro01,TOR,216,-3.6,-1.4,-0.2,SF,2021
Matt Thomas,thomama02,TOR,192,-1.9,-2.0,-0.1,SG,2021
Jalen Harris,harrija01,TOR,172,0.5,-0.3,0.1,SG,2021
Alex Len,lenal01,TOR,76,-6.5,2.5,0.0,C,2021
Henry Ellenson,ellenhe01,TOR,38,-1.7,-0.1,0.0,PF,2021
Patrick McCaw,mccawpa01,TOR,33,-2.7,3.6,0.0,SF,2021
Saddiq Bey,beysa01,DET,1909,0.3,-0.8,0.7,SF,2021
Jerami Grant,grantje01,DET,1829,1.9,-0.8,1.4,SF,2021
Josh Jackson,jacksjo02,DET,1560,-2.5,-0.5,-0.4,SG,2021
Mason Plumlee,plumlma01,DET,1499,0.2,2.0,1.6,C,2021
Isaiah Stewart,stewais01,DET,1455,-1.6,0.5,0.3,C,2021
Delon Wright,wrighde01,DET,1052,0.7,2.2,1.2,PG,2021
Wayne Ellington,ellinwa01,DET,1012,1.1,-1.3,0.5,SG,2021
Sekou Doumbouya,doumbse01,DET,869,-5.4,-1.3,-1.0,PF,2021
Saben Lee,leesa01,DET,781,-2.1,0.2,0.0,PG,2021
Frank Jackson,jacksfr01,DET,738,-0.1,-1.6,0.1,PG,2021
Killian Hayes,hayeski01,DET,670,-6.3,-0.9,-0.9,PG,2021
Svi Mykhailiuk,mykhasv01,DET,634,-1.5,-0.2,0.0,SF,2021
Blake Griffin,griffbl01,DET,626,-1.9,-0.3,-0.1,PF,2021
Cory Joseph,josepco01,DET,502,0.5,0.4,0.4,PG,2021
Hamidou Diallo,diallha01,DET,465,-2.4,-0.8,-0.1,SF,2021
Tyler Cook,cookty01,DET,421,-2.0,-0.8,-0.1,SF,2021
Dennis Smith Jr.,smithde03,DET,392,-0.6,1.3,0.3,PG,2021
Jahlil Okafor,okafoja01,DET,347,-2.5,-0.7,-0.1,C,2021
Derrick Rose,rosede01,DET,342,0.7,-0.2,0.2,PG,2021
Rodney McGruder,mcgruro01,DET,194,0.7,0.0,0.1,SG,2021
Deividas Sirvydis,sirvyde01,DET,133,-4.2,-1.2,-0.1,SG,2021
Eric Bledsoe,bledser01,NOP,2111,-1.2,-0.9,0.0,SG,2021
Brandon Ingram,ingrabr01,NOP,2093,3.3,-1.1,2.2,SF,2021
Zion Williamson,willizi01,NOP,2026,6.1,-0.3,4.0,PF,2021
Lonzo Ball,balllo01,NOP,1747,1.4,0.3,1.6,PG,2021
Steven Adams,adamsst01,NOP,1605,-0.4,0.1,0.7,C,2021
Josh Hart,hartjo01,NOP,1349,-1.1,0.3,0.4,SF,2021
Nickeil Alexander-Walker,alexani01,NOP,1007,-1.4,0.1,0.2,SG,2021
Jaxson Hayes,hayesja02,NOP,964,0.6,0.0,0.6,C,2021
Kira Lewis Jr.,lewiski01,NOP,904,-3.2,-0.2,-0.3,PG,2021
Willy Hernangómez,hernawi01,NOP,846,1.0,-1.0,0.4,C,2021
Naji Marshall,marshna01,NOP,700,-2.1,0.8,0.1,SF,2021
