Player,Player-additional,Tm,Salary,Year
Sekou Doumbouya,doumbse01,DET,3449400,2021
Michael Carter-Williams,cartemi01,ORL,3300000,2021
James Ennis III,ennisja01,ORL,3300000,2021
Cole Anthony,anthoco01,ORL,3285120,2021
Troy Brown Jr.,browntr01,CHI,3219480,2021
Chuma Okeke,okekech01,ORL,3121080,2021
Isaiah Stewart,stewais01,DET,3121080,2021
Nickeil Alexander-Walker,alexani01,NOP,3113160,2021
Patrick Patterson,pattepa01,LAC,3077704,2021
Donte DiVincenzo,divindo01,MIL,3044160,2021
Trey Burke,burketr01,DAL,3000000,2021
Khem Birch,birchkh01,TOR,3000000,2021
Ryan Arcidiacono,arcidry01,CHI,3000000,2021
Aleksej Pokusevski,pokusal01,OKC,2964840,2021
Goga Bitadze,bitadgo01,IND,2957520,2021
Luka Šamanić,samanlu01,SAS,2892000,2021
Lonnie Walker IV,walkelo01,SAS,2892000,2021
Josh Green,greenjo02,DAL,2816760,2021
Kevin Huerter,huertke01,ATL,2761920,2021
Alex Caruso,carusal01,LAL,2750000,2021
Matisse Thybulle,thybuma01,PHI,2711280,2021
Saddiq Bey,beysa01,DET,2689920,2021
Josh Okogie,okogijo01,MIN,2651040,2021
Brandon Clarke,clarkbr01,MEM,2602920,2021
Precious Achiuwa,achiupr01,MIA,2582160,2021
Tyler Herro,herroty01,MIA,2582160,2021
Marc Gasol,gasolma01,LAL,2564753,2021
Grayson Allen,allengr01,MEM,2545320,2021
Grant Williams,willigr01,BOS,2498760,2021
Tyrese Maxey,maxeyty01,PHI,2478840,2021
Chandler Hutchison,hutchch01,WAS,2443440,2021
Aaron Holiday,holidaa01,IND,2345640,2021
Darius Bazley,bazleda01,OKC,2339160,2021
Bryn Forbes,forbebr01,MIL,2337145,2021
Ty Jerome,jeromty01,OKC,2303040,2021
Zeke Nnaji,nnajize01,DEN,2284800,2021
Mike Muscala,muscami01,OKC,2283034,2021
Ben McLemore,mclembe01,LAL,2283034,2021
Anfernee Simons,simonan01,POR,2252040,2021
Brad Wanamaker,wanambr01,CHO,2250000,2021
Luke Kornet,kornelu01,BOS,2250000,2021
Nassir Little,littlna01,POR,2210640,2021
Payton Pritchard,pritcpa01,BOS,2193480,2021
R.J. Hampton,hamptrj01,ORL,2193040,2021
Edmond Sumner,sumneed01,IND,2160000,2021
Dylan Windler,windldy01,CLE,2137440,2021
Immanuel Quickley,quickim01,NYK,2105520,2021
John Konchar,konchjo01,MEM,2100000,2021
Landry Shamet,shamela01,BRK,2090040,2021
Jordan Poole,poolejo01,GSW,2063280,2021
Bol Bol,bolbo01,DEN,2058240,2021
Keldon Johnson,johnske04,SAS,2048040,2021
Robert Williams,williro04,BOS,2029920,2021
Kenrich Williams,willike04,OKC,2000000,2021
Théo Maledon,maledth01,OKC,2000000,2021
Damyean Dotson,dotsoda01,CLE,2000000,2021
Gary Clark,clarkga01,PHI,2000000,2021
Cameron Payne,payneca01,PHO,1977011,2021
Udoka Azubuike,azubuud01,UTA,1977000,2021
Jaden McDaniels,mcdanja02,MIN,1964760,2021
Malachi Flynn,flynnma01,TOR,1950600,2021
Desmond Bane,banede01,MEM,1936440,2021
Jontay Porter,portejo01,MEM,1900000,2021
Jahlil Okafor,okafoja01,DET,1882867,2021
Marquese Chriss,chrisma01,GSW,1824003,2021
David Nwaba,nwabada01,HOU,1824003,2021
Georges Niang,niangge01,UTA,1783557,2021
PJ Dozier,doziepj01,DEN,1762796,2021
Damion Lee,leeda03,GSW,1762796,2021
Furkan Korkmaz,korkmfu01,PHI,1762796,2021
Alfonzo McKinnie,mckinal01,LAL,1762796,2021
Abdel Nader,naderab01,PHO,1752950,2021
Semi Ojeleye,ojelese01,BOS,1752950,2021
DeAndre' Bembry,bembrde01,TOR,1737145,2021
Kevin Porter Jr.,porteke02,HOU,1717981,2021
Shake Milton,miltosh01,PHI,1701593,2021
Thanasis Antetokounmpo,antetth01,MIL,1701593,2021
Brandon Goodwin,goodwbr01,ATL,1701593,2021
Wes Iwundu,iwundwe01,NOP,1678854,2021
Isaac Bonga,bongais01,WAS,1663861,2021
Gary Trent Jr.,trentga02,TOR,1663861,2021
Bruce Brown,brownbr01,BRK,1663861,2021
Hamidou Diallo,diallha01,DET,1663861,2021
Kendrick Nunn,nunnke01,MIA,1663861,2021
Mitchell Robinson,robinmi01,NYK,1663861,2021
Jalen Brunson,brunsja01,DAL,1663861,2021
Keita Bates-Diop,bateske01,SAS,1663861,2021
Duncan Robinson,robindu01,MIA,1663861,2021
Svi Mykhailiuk,mykhasv01,OKC,1663861,2021
Jarred Vanderbilt,vandeja01,MIN,1663361,2021
Wenyen Gabriel,gabriwe01,NOP,1620564,2021
Shaquille Harrison,harrish01,DEN,1620564,2021
Hassan Whiteside,whiteha01,SAC,1620564,2021
Tyler Johnson,johnsty01,BRK,1620564,2021
Quinn Cook,cookqu01,CLE,1620564,2021
Matthew Dellavedova,dellama01,CLE,1620564,2021
Kent Bazemore,bazemke01,GSW,1620564,2021
Drew Eubanks,eubandr01,SAS,1620564,2021
Isaiah Thomas,thomais02,NOP,1620564,2021
Nicolas Batum,batumni01,LAC,1620564,2021
E'Twaun Moore,mooreet01,PHO,1620564,2021
Isaiah Hartenstein,harteis01,CLE,1620564,2021
Solomon Hill,hillso01,ATL,1620564,2021
Glenn Robinson III,robingl02,SAC,1620564,2021
Udonis Haslem,hasleud01,MIA,1620564,2021
Harry Giles,gilesha01,POR,1620564,2021
Sterling Brown,brownst02,HOU,1620564,2021
Wayne Ellington,ellinwa01,DET,1620564,2021
Jared Dudley,dudleja01,LAL,1620564,2021
Dwight Howard,howardw01,PHI,1620564,2021
Carmelo Anthony,anthoca01,POR,1620564,2021
JaKarr Sampson,sampsja02,IND,1620564,2021
Langston Galloway,gallola01,PHO,1620564,2021
Frank Kaminsky,kaminfr01,PHO,1620564,2021
Jeff Green,greenje02,BRK,1620564,2021
Reggie Jackson,jacksre01,LAC,1620564,2021
Markieff Morris,morrima02,LAL,1620564,2021
Thon Maker,makerth01,CLE,1620564,2021
Raul Neto,netora01,WAS,1620564,2021
Torrey Craig,craigto01,PHO,1620564,2021
Willy Hernangómez,hernawi01,NOP,1620564,2021
Joe Johnson,johnsjo02,BOS,1620564,2021
Monte Morris,morrimo01,DEN,1588231,2021
Tyrone Wallace,wallaty01,NOP,1588231,2021
Cody Martin,martico01,CHO,1517981,2021
Mychal Mulder,muldemy01,GSW,1517981,2021
Jalen McDaniels,mcdanja01,CHO,1517981,2021
Anžejs Pasečņiks,pasecan01,WAS,1517981,2021
Talen Horton-Tucker,hortota01,LAL,1517981,2021
Luguentz Dort,dortlu01,OKC,1517981,2021
KZ Okpala,okpalkz01,MIA,1517981,2021
Terence Davis,daviste02,SAC,1517981,2021
Miye Oni,onimi01,UTA,1517981,2021
Admiral Schofield,schofad01,ORL,1517981,2021
Isaiah Roby,robyis01,OKC,1517981,2021
Nic Claxton,claxtni01,BRK,1517981,2021
Naz Reid,reidna01,MIN,1517981,2021
Eric Paschall,pascher01,GSW,1517981,2021
Jalen Lecque,lecquja01,IND,1517981,2021
Rayjon Tucker,tuckera01,PHI,1517981,2021
Caleb Martin,martica02,CHO,1517981,2021
Juwan Morgan,morgaju01,UTA,1517981,2021
Terance Mann,mannte01,LAC,1517981,2021
Alen Smailagić,smailal01,GSW,1517981,2021
Jaylen Nowell,nowelja01,MIN,1517981,2021
Carsen Edwards,edwarca01,BOS,1517981,2021
Vlatko Čančar,cancavl01,DEN,1517981,2021
Daniel Gafford,gaffoda01,WAS,1517981,2021
Dean Wade,wadede01,CLE,1517981,2021
Matt Thomas,thomama02,UTA,1517981,2021
Javonte Green,greenja02,CHI,1517981,2021
Justin James,jamesju01,SAC,1517981,2021
Bruno Fernando,fernabr01,ATL,1517981,2021
Chris Silva,silvach01,SAC,1517981,2021
Robert Woodard II,woodaro01,SAC,1500000,2021
Paul Watson,watsopa01,TOR,1445697,2021
DaQuan Jeffries,jeffrda01,HOU,1445697,2021
Jae'Sean Tate,tateja01,HOU,1445697,2021
Theo Pinson,pinsoth01,NYK,1445697,2021
Kelan Martin,martike03,IND,1445697,2021
Taj Gibson,gibsota01,NYK,1442968,2021
Jaylen Adams,adamsja01,MIL,1416852,2021
Jemerrio Jones,jonesje01,LAL,1416852,2021
Jaylen Morris,morrija01,SAS,1378242,2021
Vernon Carey Jr.,careyve01,CHO,1350000,2021
James Nunnally,nunnaja01,NOP,1349383,2021
Xavier Tillman Sr.,tillmxa01,MEM,1300000,2021
Tyrell Terry,terryty01,DAL,1289846,2021
Alex Len,lenal01,WAS,1265372,2021
Noah Vonleh,vonleno01,BRK,1087776,2021
Nick Richards,richani01,CHO,1000000,2021
Jahmi'us Ramsey,ramseja01,SAC,1000000,2021
Gorgui Dieng,dienggo01,SAS,1000000,2021
Paul Millsap,millspa01,DEN,1000000,2021
Daniel Oturu,oturuda01,LAC,898310,2021
Jordan Nwora,nworajo01,MIL,898310,2021
Anthony Gill,gillan01,WAS,898310,2021
Isaiah Joe,joeis01,PHI,898310,2021
Tre Jones,jonestr01,SAS,898310,2021
Elijah Hughes,hugheel01,UTA,898310,2021
KJ Martin,martike04,HOU,898310,2021
CJ Elleby,ellebcj01,POR,898310,2021
Deividas Sirvydis,sirvyde01,DET,898310,2021
Sam Merrill,merrisa01,MIL,898310,2021
Max Strus,strusma01,MIA,898310,2021
Andre Drummond,drumman01,LAL,794536,2021
Blake Griffin,griffbl01,BRK,776983,2021
Oshae Brissett,brissos01,IND,757453,2021
Ersan İlyasova,ilyaser01,UTA,754783,2021
Chimezie Metu,metuch01,SAC,700000,2021
Timothé Luwawu-Cabarrot,luwawti01,BRK,654469,2021
Lamar Stevens,stevela01,CLE,652366,2021
Paul Reed,reedpa01,PHI,609128,2021
Jeff Teague,teaguje01,MIL,510589,2021
Norvel Pelle,pelleno01,NYK,500000,2021
Dewayne Dedmon,dedmode01,MIA,432890,2021
Nemanja Bjelica,bjeline01,MIA,432890,2021
Jabari Parker,parkeja01,BOS,430729,2021
Alize Johnson,johnsal02,BRK,399591,2021
Tyler Cook,cookty01,BRK,396081,2021
Juan Toscano-Anderson,toscaju01,GSW,358295,2021
Yuta Watanabe,watanyu01,TOR,321893,2021
Anthony Tolliver,tollian01,PHI,263501,2021
Tim Frazier,fraziti01,MEM,255294,2021
Khyri Thomas,thomakh01,HOU,250000,2021
Damian Jones,jonesda03,SAC,237965,2021
DeMarcus Cousins,couside01,LAC,233095,2021
Moritz Wagner,wagnemo01,ORL,221995,2021
Yogi Ferrell,ferreyo01,LAC,214169,2021
Rondae Hollis-Jefferson,holliro01,POR,210895,2021
Austin Rivers,riverau01,DEN,188696,2021
Devonte' Graham,grahade01,CHO,163861,2021
Mamadi Diakite,diakima01,MIL,160173,2021
Mfiondu Kabengele,kabenmf01,CLE,154433,2021
Naji Marshall,marshna01,NOP,120000,2021
Freddie Gillespie,gillefr01,TOR,116903,2021
Ignas Brazdeikis,brazdig01,ORL,49510,2021
Mike James,jamesmi02,BRK,39608,2021
Elijah Bryant,bryanel01,MIL,24611,2021
Charlie Brown Jr.,brownch02,OKC,19804,2021
Omer Yurtseven,yurtsom01,UTA,18458,2021
Gary Payton II,paytoga02,GSW,11898,2021
Stephen Curry,curryst01,GSW,45780966,2022
James Harden,hardeja01,PHI,44310840,2022
John Wall,walljo01,HOU,44310840,2022
Russell Westbrook,westbru01,LAL,44211146,2022
Kevin Durant,duranke01,BRK,42018900,2022
